Leah Murphy,Arizona Robbins
Leah Murphy,Alex Karev
Lauren Boswell,Arizona Robbins
Arizona Robbins,Callie Torres
Callie Torres,Erica Hahn
Callie Torres,Alex Karev
Callie Torres,Mark Sloan
Callie Torres,George O'Malley
George O'Malley,Izzie Stevens
George O'Malley,Meredith Grey
Denny Duqutte,Izzie Stevens
Izzie Stevens,Alex Karev
Meredith Grey,Derek Sheperd
Preston Burke,Cristina Yang
Shane Ross,Cristina Yang
Derek Sheperd,Rose
Derek Sheperd,Addison Montgomery
Cristina Yang,Owen Hunt
Amelia Shepherd,Owen Hunt
Amelia Shepherd,Mark Sloan
Addison Montgomery,Mark Sloan
Stephanie Edwards,Jackson Avery
Jackson Avery,April Kepner
Jackson Avery,Lexie Grey
Reed Adamson,Mark Sloan
Mark Sloan,Lexie Grey
Mark Sloan,Teddy Altman
Lexie Grey,Alex Karev
Alex Karev,Heather Brooks
Alex Karev,Jo Wilson
Teddy Altman,Henry Burton
Owen Hunt,Emma
Addison Montgomery,Alex Karev
Alex Karev,Rebecca Pope
Alex Karev,Lucy Fields
George O'Malley,Nurse Olivia
Nurse Olivia,Alex Karev
Hank,Izzie Stevens
Andrew Perkins,Teddy Altman
Mark Sloan,Nancy Shepard
Meredith Grey,Nathan Riggs
Ben Warren,Miranda Bailey
Miranda Bailey,Eli James
Miranda Bailey,Tucker Jones
Ellis Grey,Richard Webber
Ellis Grey,Thatcher Grey
Richard Webber,Catherine Avery
Susan Grey,Thatcher Grey
Richard Webber,Adele Webber
Steve Mostow,Megan Nowland
Megan Nowland,Pierce Halley
Steve Murphy,Meredith Grey
Meredith Grey,Finn Dandridge
Teddy Altman,Owen Hunt
Miranda Bailey,Lloyd
Colin Marlow,Cristina Yang
Dana Seabury,Alex Karev
